Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,N/A,KERNEL_AICORE,25,84,6.58,1728456062721726.330	,1728456062721732.910	
0,N/A,KERNEL_AICORE,25,85,6.8,1728456062721732.930	,1728456062721739.730	
0,N/A,KERNEL_AICORE,25,86,6.44,1728456062721739.750	,1728456062721746.190	
0,N/A,KERNEL_AICORE,25,87,6.6,1728456062721746.210	,1728456062721752.810	
0,N/A,KERNEL_AICORE,25,88,6.28,1728456062721752.830	,1728456062721759.110	
0,N/A,KERNEL_AICORE,25,89,6.42,1728456062721759.130	,1728456062721765.550	
0,N/A,KERNEL_AICORE,25,90,6.54,1728456062721765.570	,1728456062721772.110	
0,N/A,KERNEL_AICORE,25,91,7.0,1728456062721772.130	,1728456062721779.130	
0,N/A,KERNEL_AICORE,25,92,6.28,1728456062721779.150	,1728456062721785.430	
0,N/A,KERNEL_AICORE,25,93,6.34,1728456062721785.450	,1728456062721791.790	
0,N/A,EVENT_RECORD,25,94,0.02,1728456062721791.810	,1728456062721791.830	
0,N/A,KERNEL_AICORE,25,95,6.34,1728456062721856.310	,1728456062721862.650	
0,N/A,KERNEL_AICORE,25,96,6.48,1728456062721862.670	,1728456062721869.150	
0,N/A,KERNEL_AICORE,25,97,6.34,1728456062721869.170	,1728456062721875.510	
0,N/A,KERNEL_AICORE,25,98,6.28,1728456062721875.530	,1728456062721881.810	
0,N/A,KERNEL_AICORE,25,99,6.26,1728456062721881.830	,1728456062721888.090	
0,N/A,KERNEL_AICORE,25,100,6.54,1728456062721888.110	,1728456062721894.650	
0,N/A,KERNEL_AICORE,25,101,6.48,1728456062721894.670	,1728456062721901.150	
0,N/A,KERNEL_AICORE,25,102,6.58,1728456062721901.190	,1728456062721907.770	
0,N/A,KERNEL_AICORE,25,103,6.24,1728456062721907.790	,1728456062721914.030	
0,N/A,KERNEL_AICORE,25,104,6.36,1728456062721914.050	,1728456062721920.410	
0,N/A,KERNEL_AICORE,25,105,6.54,1728456062721920.430	,1728456062721926.970	
0,N/A,KERNEL_AICORE,25,106,6.76,1728456062721926.990	,1728456062721933.750	
0,N/A,KERNEL_AICORE,25,107,6.46,1728456062721933.770	,1728456062721940.230	
0,N/A,KERNEL_AICORE,25,108,6.58,1728456062721940.250	,1728456062721946.830	
0,N/A,KERNEL_AICORE,25,109,6.3,1728456062721946.850	,1728456062721953.150	
0,N/A,KERNEL_AICORE,25,110,6.36,1728456062721953.170	,1728456062721959.530	
0,N/A,KERNEL_AICORE,25,111,6.52,1728456062721959.570	,1728456062721966.090	
0,N/A,KERNEL_AICORE,25,112,6.98,1728456062721966.110	,1728456062721973.090	
0,N/A,KERNEL_AICORE,25,113,6.28,1728456062721973.130	,1728456062721979.410	
0,N/A,KERNEL_AICORE,25,114,6.34,1728456062721979.450	,1728456062721985.790	
0,N/A,EVENT_RECORD,25,115,0.0,1728456062721985.810	,1728456062721985.810	
0,N/A,PROFILING_DISABLE,14,4,0.02,1728456062723536.450	,1728456062723536.470	
